event_type,location,population_best
Battles,Avdiivka,26190.0
Explosions/Remote violence,Bilohorivka,302.0
Explosions/Remote violence,Bilohorivka,1455.0
Explosions/Remote violence,Donetsk - Kuibyshivskyi,33131.0
Explosions/Remote violence,Donetsk - Petrovskyi,36757.0
Explosions/Remote violence,Horlivka,12178.0
Explosions/Remote violence,Kherson,137447.0
Battles,Makiivka,567.0
Explosions/Remote violence,Marinka,6105.0
Battles,Avdiivka,26190.0
Explosions/Remote violence,Bilohorivka,1455.0
Explosions/Remote violence,Donetsk - Kuibyshivskyi,33131.0
Explosions/Remote violence,Donetsk - Petrovskyi,36757.0
Explosions/Remote violence,Horlivka,12178.0
Explosions/Remote violence,Kherson,137447.0
Battles,Krasnohorivka,7003.0
Battles,Makiivka,567.0
Explosions/Remote violence,Makiivka,93333.0
Battles,Marinka,6105.0
Battles,Kherson,137447.0
Battles,Avdiivka,26190.0
Explosions/Remote violence,Bilohorivka,302.0
Explosions/Remote violence,Donetsk - Kuibyshivskyi,33131.0
Explosions/Remote violence,Donetsk - Petrovskyi,36757.0
Explosions/Remote violence,Horlivka,12178.0
Explosions/Remote violence,Kherson,137447.0
Explosions/Remote violence,Krasnohorivka,7003.0
Explosions/Remote violence,Makiivka,93333.0
Explosions/Remote violence,Makiivka,567.0
Explosions/Remote violence,Krasnohorivka,667.0
Battles,Marinka,6105.0
Explosions/Remote violence,Avdiivka,26190.0
Explosions/Remote violence,Avdiivka,26190.0
Battles,Avdiivka,26190.0
Explosions/Remote violence,Bilohorivka,1455.0
Explosions/Remote violence,Donetsk - Kuibyshivskyi,33131.0
Explosions/Remote violence,Donetsk - Petrovskyi,36757.0
Explosions/Remote violence,Horlivka,12178.0
Explosions/Remote violence,Kherson,137447.0
Explosions/Remote violence,Krasnohorivka,7003.0
Explosions/Remote violence,Makiivka,93333.0
Battles,Marinka,6105.0
Battles,Kherson,137447.0
Explosions/Remote violence,Avdiivka,26190.0
Battles,Avdiivka,26190.0
Explosions/Remote violence,Donetsk - Kuibyshivskyi,33131.0
Explosions/Remote violence,Donetsk - Petrovskyi,36757.0
Explosions/Remote violence,Horlivka,12178.0
